"interaction_name","pathway_name","ligand","receptor","agonist","antagonist","co_A_receptor","co_I_receptor","annotation","interaction_name_2","id_cp_interaction","annotation_strategy","source","is_ppi","curator","reactome_complex","reactome_reaction","reactome_pathway","complexPortal_complex","comments","version","modulatory_effect"
"ALDH1A2-CRABP2+RXRG","Retinoic Acid","atRetinoicAcid_byALDH1A2","RAreceptor_RXRG","","","","","Ligand-Receptor","ALDH1A2-CRABP2+RXRG",NA,"curated","uniprot;reactome","False","LGarciaAlonso","","","",NA,"","CellPhoneDBcore<=4.1",""
"ALDH1A2-RORB","Retinoic Acid","atRetinoicAcid_byALDH1A2","RORB","","","","","Ligand-Receptor","ALDH1A2-RORB",NA,"curated","uniprot","False","LGarciaAlonso","","","",NA,"","CellPhoneDBcore<=4.1",""
"ALDH1A3-CRABP2+RARA","Retinoic Acid","atRetinoicAcid_byALDH1A3","RAreceptor_RARA","","","","","Ligand-Receptor","ALDH1A3-CRABP2+RARA",NA,"curated","uniprot;reactome","False","LGarciaAlonso","","","",NA,"","CellPhoneDBcore<=4.1",""
"ALDH1A3-CRABP2+RARA+RXRA","Retinoic Acid","atRetinoicAcid_byALDH1A3","RAreceptor_RARA_RXRA","","","","","Ligand-Receptor","ALDH1A3-CRABP2+RARA+RXRA",NA,"curated","uniprot;reactome","False","LGarciaAlonso","","R-HSA-5334854","",NA,"","CellPhoneDBcore<=4.1",""
"ALDH1A3-CRABP2+RARB","Retinoic Acid","atRetinoicAcid_byALDH1A3","RAreceptor_RARB","","","","","Ligand-Receptor","ALDH1A3-CRABP2+RARB",NA,"curated","uniprot;reactome","False","LGarciaAlonso","","","",NA,"","CellPhoneDBcore<=4.1",""
"ALDH1A3-CRABP2+RARB+RXRB","Retinoic Acid","atRetinoicAcid_byALDH1A3","RAreceptor_RARB_RXRB","","","","","Ligand-Receptor","ALDH1A3-CRABP2+RARB+RXRB",NA,"curated","uniprot;reactome","False","LGarciaAlonso","","R-HSA-5334854","",NA,"","CellPhoneDBcore<=4.1",""
"ALDH1A3-CRABP2+RARG","Retinoic Acid","atRetinoicAcid_byALDH1A3","RAreceptor_RARG","","","","","Ligand-Receptor","ALDH1A3-CRABP2+RARG",NA,"curated","uniprot;reactome","False","LGarciaAlonso","","","",NA,"","CellPhoneDBcore<=4.1",""
"ALDH1A3-CRABP2+RARG+RXRG","Retinoic Acid","atRetinoicAcid_byALDH1A3","RAreceptor_RARG_RXRG","","","","","Ligand-Receptor","ALDH1A3-CRABP2+RARG+RXRG",NA,"curated","uniprot;reactome","False","LGarciaAlonso","","R-HSA-5334854","",NA,"","CellPhoneDBcore<=4.1",""
"ALDH1A3-CRABP2+RXRA","Retinoic Acid","atRetinoicAcid_byALDH1A3","RAreceptor_RXRA","","","","","Ligand-Receptor","ALDH1A3-CRABP2+RXRA",NA,"curated","uniprot;reactome","False","LGarciaAlonso","","","",NA,"","CellPhoneDBcore<=4.1",""
"ALDH1A3-CRABP2+RXRB","Retinoic Acid","atRetinoicAcid_byALDH1A3","RAreceptor_RXRB","","","","","Ligand-Receptor","ALDH1A3-CRABP2+RXRB",NA,"curated","uniprot;reactome","False","LGarciaAlonso","","","",NA,"","CellPhoneDBcore<=4.1",""
"ALDH1A3-CRABP2+RXRG","Retinoic Acid","atRetinoicAcid_byALDH1A3","RAreceptor_RXRG","","","","","Ligand-Receptor","ALDH1A3-CRABP2+RXRG",NA,"curated","uniprot;reactome","False","LGarciaAlonso","","","",NA,"","CellPhoneDBcore<=4.1",""
"ALDH1A3-RORB","Retinoic Acid","atRetinoicAcid_byALDH1A3","RORB","","","","","Ligand-Receptor","ALDH1A3-RORB",NA,"curated","uniprot","False","LGarciaAlonso","","","",NA,"","CellPhoneDBcore<=4.1",""
"RARRES2-CCRL2","Retinoid acid","RARRES2","CCRL2","","","","","Ligand-Receptor","RARRES2-CCRL2",NA,"curated","uniprot","True","LGarciaAlonso","","","",NA,"","CellPhoneDBcore<=4.1",""
"RARRES2-CMKLR1","Retinoid acid","RARRES2","CMKLR1","","","","","Ligand-Receptor","RARRES2-CMKLR1",NA,"curated","uniprot","True","LGarciaAlonso","","","",NA,"","CellPhoneDBcore<=4.1",""
"RARRES2-GPR1","Retinoid acid","RARRES2","GPR1","","","","","Ligand-Receptor","RARRES2-GPR1",NA,"curated","uniprot","True","LGarciaAlonso","","","",NA,"","CellPhoneDBcore<=4.1",""
"SOSTDC1-LRP5","Sclerostin domain-containing protein","SOSTDC1","LRP5","","","","","Ligand-Receptor","SOSTDC1-LRP5",NA,"curated","PMID:24532711","True","RVentoTormo","","","",NA,"WNT antagonist","CellPhoneDBcore<=4.1",""
"SOSTDC1-LRP6","Sclerostin domain-containing protein","SOSTDC1","LRP6","","","","","Ligand-Receptor","SOSTDC1-LRP6",NA,"curated","PMID:24532711","True","RVentoTormo","","","",NA,"WNT antagonist","CellPhoneDBcore<=4.1",""
"SCT-SCTR","Secretin","SCT","SCTR","","","","","Ligand-Receptor","SCT-SCTR",NA,"curated","uniprot;HMRbase;reactome","True","LGarciaAlonso","","R-HSA-420202","",NA,"","CellPhoneDBcore<=4.1",""
"SCT-VIPR1","Secretin","SCT","VIPR1","","","","","Ligand-Receptor","SCT-VIPR1",NA,"curated","uniprot;reactome;IUPHAR","True","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"SCT-VIPR2","Secretin","SCT","VIPR2","","","","","Ligand-Receptor","SCT-VIPR2",NA,"curated","uniprot;reactome;IUPHAR","True","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"SELE-GLG1","Selectin","SELE","GLG1","","","","","Ligand-Receptor","SELE-GLG1",NA,"curated","PMID:11404363","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"SELPLG-SELE","Selectin","SELPLG","SELE","","","","","Ligand-Receptor","SELPLG-SELE",NA,"curated","PMC4571854","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"SELPLG-SELL","Selectin","SELPLG","SELL","","","","","Ligand-Receptor","SELPLG-SELL",NA,"curated","PMC2431087;PMID:8892633;PMID:8896607","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"SELPLG-SELP","Selectin","SELPLG","SELP","","","","","Ligand-Receptor","SELPLG-SELP",NA,"curated","PMID:19118202;PMID:9829984;PMID:12393589","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"SEMA3A-NRP1","Semaphorin","SEMA3A","NRP1","","","","","Ligand-Receptor","SEMA3A-NRP1",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"SEMA3A-NRP1+PLXNA1","Semaphorin","SEMA3A","PlexinA1_complex3","","","","","Ligand-Receptor","SEMA3A-NRP1+PLXNA1",NA,"curated","PMID:22325954","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"SEMA3A-NRP1+PLXNA2","Semaphorin","SEMA3A","PlexinA2_complex1","","","","","Ligand-Receptor","SEMA3A-NRP1+PLXNA2",NA,"curated","PMID:22325954","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"SEMA3A-NRP1+PLXNA3","Semaphorin","SEMA3A","PlexinA3_complex1","","","","","Ligand-Receptor","SEMA3A-NRP1+PLXNA3",NA,"curated","PMID:22325954","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"SEMA3A-NRP1+PLXNA4","Semaphorin","SEMA3A","PlexinA4_complex1","","","","","Ligand-Receptor","SEMA3A-NRP1+PLXNA4",NA,"curated","PMID:22325954","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"SEMA3C-NRP2","Semaphorin","SEMA3C","NRP2","","","","","Ligand-Receptor","SEMA3C-NRP2",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"SEMA3E-PLXND1","Semaphorin","SEMA3E","PLXND1","","","","","Ligand-Receptor","SEMA3E-PLXND1",NA,"curated","PMID:22325954","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"SEMA3F-NRP2","Semaphorin","SEMA3F","NRP2","","","","","Ligand-Receptor","SEMA3F-NRP2",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"SEMA4A-PLXND1","Semaphorin","SEMA4A","PLXND1","","","","","Ligand-Receptor","SEMA4A-PLXND1",NA,"curated","PMID:22325954","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"SEMA4C-PLXNB2","Semaphorin","SEMA4C","PLXNB2","","","","","Ligand-Receptor","SEMA4C-PLXNB2",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"SEMA4D-CD72","Semaphorin","SEMA4D","CD72","","","","","Ligand-Receptor","SEMA4D-CD72",NA,"curated","PMID:22325954","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"SEMA4D-PLXNB1","Semaphorin","SEMA4D","PLXNB1","","","","","Ligand-Receptor","SEMA4D-PLXNB1",NA,"curated","PMID:22325954","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"SEMA4D-PLXNB2","Semaphorin","SEMA4D","PLXNB2","","","","","Ligand-Receptor","SEMA4D-PLXNB2",NA,"curated","PMID:22325954","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"SEMA4D-PTPRC","Semaphorin","SEMA4D","PTPRC","","","","","Ligand-Receptor","SEMA4D-PTPRC",NA,"curated","PMID:22325954","True","LGarciaAlonso","R-HSA-373689","R-HSA-373746","",NA,"","CellPhoneDBcore<=4.1",""
"SEMA4G-PLXNB2","Semaphorin","SEMA4G","PLXNB2","","","","","Ligand-Receptor","SEMA4G-PLXNB2",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"SEMA5A-PLXNB3","Semaphorin","SEMA5A","PLXNB3","","","","","Ligand-Receptor","SEMA5A-PLXNB3",NA,"curated","uniprot","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"SEMA6A-NRP1+PLXNA2","Semaphorin","SEMA6A","PlexinA2_complex1","","","","","Ligand-Receptor","SEMA6A-NRP1+PLXNA2",NA,"curated","uniprot","True","LGarciaAlonso","","","",NA,"","CellPhoneDBcore<=4.1",""
"SEMA6D-KDR+PLXNA1","Semaphorin","SEMA6D","PlexinA1_complex1","","","","","Ligand-Receptor","SEMA6D-KDR+PLXNA1",NA,"curated","PMID:22325954","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"SEMA6D-PLXNA1+TREM2+TYROBP","Semaphorin","SEMA6D","PlexinA1_complex2","","","","","Ligand-Receptor","SEMA6D-PLXNA1+TREM2+TYROBP",NA,"curated","PMID:22325954","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"SEMA7A-ITGA1+ITGB1","Semaphorin","SEMA7A","integrin_a1b1_complex","","","","","Ligand-Receptor","SEMA7A-ITGA1+ITGB1",NA,"curated","PMID:22325954","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"SEMA7A-PLXNC1","Semaphorin","SEMA7A","PLXNC1","","","","","Ligand-Receptor","SEMA7A-PLXNC1",NA,"curated","PMID:22325954","True","RVentoTormo","","","",NA,"","CellPhoneDBcore<=4.1",""
"SLC18A1+TPH1-HTR1A","Serotonin","5-HT_byTPH1_and_SLC18A1","HTR1A","","","","","Ligand-Receptor","SLC18A1+TPH1-HTR1A",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"SLC18A1+TPH1-HTR1B","Serotonin","5-HT_byTPH1_and_SLC18A1","HTR1B","","","","","Ligand-Receptor","SLC18A1+TPH1-HTR1B",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"SLC18A1+TPH1-HTR1D","Serotonin","5-HT_byTPH1_and_SLC18A1","HTR1D","","","","","Ligand-Receptor","SLC18A1+TPH1-HTR1D",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"SLC18A1+TPH1-HTR1E","Serotonin","5-HT_byTPH1_and_SLC18A1","HTR1E","","","","","Ligand-Receptor","SLC18A1+TPH1-HTR1E",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"SLC18A1+TPH1-HTR1F","Serotonin","5-HT_byTPH1_and_SLC18A1","HTR1F","","","","","Ligand-Receptor","SLC18A1+TPH1-HTR1F",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"SLC18A1+TPH1-HTR2A","Serotonin","5-HT_byTPH1_and_SLC18A1","HTR2A","","","","","Ligand-Receptor","SLC18A1+TPH1-HTR2A",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"SLC18A1+TPH1-HTR2B","Serotonin","5-HT_byTPH1_and_SLC18A1","HTR2B","","","","","Ligand-Receptor","SLC18A1+TPH1-HTR2B",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"SLC18A1+TPH1-HTR2C","Serotonin","5-HT_byTPH1_and_SLC18A1","HTR2C","","","","","Ligand-Receptor","SLC18A1+TPH1-HTR2C",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"SLC18A1+TPH1-HTR3A+HTR3B+HTR3C+HTR3D+HTR3E","Serotonin","5-HT_byTPH1_and_SLC18A1","5HTR3_complex","","","","","Ligand-Receptor","SLC18A1+TPH1-HTR3A+HTR3B+HTR3C+HTR3D+HTR3E",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"SLC18A1+TPH1-HTR4","Serotonin","5-HT_byTPH1_and_SLC18A1","HTR4","","","","","Ligand-Receptor","SLC18A1+TPH1-HTR4",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"SLC18A1+TPH1-HTR5A","Serotonin","5-HT_byTPH1_and_SLC18A1","HTR5A","","","","","Ligand-Receptor","SLC18A1+TPH1-HTR5A",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"SLC18A1+TPH1-HTR6","Serotonin","5-HT_byTPH1_and_SLC18A1","HTR6","","","","","Ligand-Receptor","SLC18A1+TPH1-HTR6",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"SLC18A1+TPH1-HTR7","Serotonin","5-HT_byTPH1_and_SLC18A1","HTR7","","","","","Ligand-Receptor","SLC18A1+TPH1-HTR7",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"SLC18A1+TPH2-HTR1A","Serotonin","5-HT_byTPH2_and_SLC18A1","HTR1A","","","","","Ligand-Receptor","SLC18A1+TPH2-HTR1A",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"SLC18A1+TPH2-HTR1B","Serotonin","5-HT_byTPH2_and_SLC18A1","HTR1B","","","","","Ligand-Receptor","SLC18A1+TPH2-HTR1B",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"SLC18A1+TPH2-HTR1D","Serotonin","5-HT_byTPH2_and_SLC18A1","HTR1D","","","","","Ligand-Receptor","SLC18A1+TPH2-HTR1D",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"SLC18A1+TPH2-HTR1E","Serotonin","5-HT_byTPH2_and_SLC18A1","HTR1E","","","","","Ligand-Receptor","SLC18A1+TPH2-HTR1E",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"SLC18A1+TPH2-HTR1F","Serotonin","5-HT_byTPH2_and_SLC18A1","HTR1F","","","","","Ligand-Receptor","SLC18A1+TPH2-HTR1F",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"SLC18A1+TPH2-HTR2A","Serotonin","5-HT_byTPH2_and_SLC18A1","HTR2A","","","","","Ligand-Receptor","SLC18A1+TPH2-HTR2A",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"SLC18A1+TPH2-HTR2B","Serotonin","5-HT_byTPH2_and_SLC18A1","HTR2B","","","","","Ligand-Receptor","SLC18A1+TPH2-HTR2B",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"SLC18A1+TPH2-HTR2C","Serotonin","5-HT_byTPH2_and_SLC18A1","HTR2C","","","","","Ligand-Receptor","SLC18A1+TPH2-HTR2C",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"SLC18A1+TPH2-HTR3A+HTR3B+HTR3C+HTR3D+HTR3E","Serotonin","5-HT_byTPH2_and_SLC18A1","5HTR3_complex","","","","","Ligand-Receptor","SLC18A1+TPH2-HTR3A+HTR3B+HTR3C+HTR3D+HTR3E",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"SLC18A1+TPH2-HTR4","Serotonin","5-HT_byTPH2_and_SLC18A1","HTR4","","","","","Ligand-Receptor","SLC18A1+TPH2-HTR4",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"SLC18A1+TPH2-HTR5A","Serotonin","5-HT_byTPH2_and_SLC18A1","HTR5A","","","","","Ligand-Receptor","SLC18A1+TPH2-HTR5A",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"SLC18A1+TPH2-HTR6","Serotonin","5-HT_byTPH2_and_SLC18A1","HTR6","","","","","Ligand-Receptor","SLC18A1+TPH2-HTR6",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"SLC18A1+TPH2-HTR7","Serotonin","5-HT_byTPH2_and_SLC18A1","HTR7","","","","","Ligand-Receptor","SLC18A1+TPH2-HTR7",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"SLC18A2+TPH1-HTR1A","Serotonin","5-HT_byTPH1_and_SLC18A2","HTR1A","","","","","Ligand-Receptor","SLC18A2+TPH1-HTR1A",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"SLC18A2+TPH1-HTR1B","Serotonin","5-HT_byTPH1_and_SLC18A2","HTR1B","","","","","Ligand-Receptor","SLC18A2+TPH1-HTR1B",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"SLC18A2+TPH1-HTR1D","Serotonin","5-HT_byTPH1_and_SLC18A2","HTR1D","","","","","Ligand-Receptor","SLC18A2+TPH1-HTR1D",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"SLC18A2+TPH1-HTR1E","Serotonin","5-HT_byTPH1_and_SLC18A2","HTR1E","","","","","Ligand-Receptor","SLC18A2+TPH1-HTR1E",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"SLC18A2+TPH1-HTR1F","Serotonin","5-HT_byTPH1_and_SLC18A2","HTR1F","","","","","Ligand-Receptor","SLC18A2+TPH1-HTR1F",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"SLC18A2+TPH1-HTR2A","Serotonin","5-HT_byTPH1_and_SLC18A2","HTR2A","","","","","Ligand-Receptor","SLC18A2+TPH1-HTR2A",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"SLC18A2+TPH1-HTR2B","Serotonin","5-HT_byTPH1_and_SLC18A2","HTR2B","","","","","Ligand-Receptor","SLC18A2+TPH1-HTR2B",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"SLC18A2+TPH1-HTR2C","Serotonin","5-HT_byTPH1_and_SLC18A2","HTR2C","","","","","Ligand-Receptor","SLC18A2+TPH1-HTR2C",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"SLC18A2+TPH1-HTR3A+HTR3B+HTR3C+HTR3D+HTR3E","Serotonin","5-HT_byTPH1_and_SLC18A2","5HTR3_complex","","","","","Ligand-Receptor","SLC18A2+TPH1-HTR3A+HTR3B+HTR3C+HTR3D+HTR3E",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"SLC18A2+TPH1-HTR4","Serotonin","5-HT_byTPH1_and_SLC18A2","HTR4","","","","","Ligand-Receptor","SLC18A2+TPH1-HTR4",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"SLC18A2+TPH1-HTR5A","Serotonin","5-HT_byTPH1_and_SLC18A2","HTR5A","","","","","Ligand-Receptor","SLC18A2+TPH1-HTR5A",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"SLC18A2+TPH1-HTR6","Serotonin","5-HT_byTPH1_and_SLC18A2","HTR6","","","","","Ligand-Receptor","SLC18A2+TPH1-HTR6",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"SLC18A2+TPH1-HTR7","Serotonin","5-HT_byTPH1_and_SLC18A2","HTR7","","","","","Ligand-Receptor","SLC18A2+TPH1-HTR7",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"SLC18A2+TPH2-HTR1A","Serotonin","5-HT_byTPH2_and_SLC18A2","HTR1A","","","","","Ligand-Receptor","SLC18A2+TPH2-HTR1A",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"SLC18A2+TPH2-HTR1B","Serotonin","5-HT_byTPH2_and_SLC18A2","HTR1B","","","","","Ligand-Receptor","SLC18A2+TPH2-HTR1B",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"SLC18A2+TPH2-HTR1D","Serotonin","5-HT_byTPH2_and_SLC18A2","HTR1D","","","","","Ligand-Receptor","SLC18A2+TPH2-HTR1D",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"SLC18A2+TPH2-HTR1E","Serotonin","5-HT_byTPH2_and_SLC18A2","HTR1E","","","","","Ligand-Receptor","SLC18A2+TPH2-HTR1E",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"SLC18A2+TPH2-HTR1F","Serotonin","5-HT_byTPH2_and_SLC18A2","HTR1F","","","","","Ligand-Receptor","SLC18A2+TPH2-HTR1F",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"SLC18A2+TPH2-HTR2A","Serotonin","5-HT_byTPH2_and_SLC18A2","HTR2A","","","","","Ligand-Receptor","SLC18A2+TPH2-HTR2A",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"SLC18A2+TPH2-HTR2B","Serotonin","5-HT_byTPH2_and_SLC18A2","HTR2B","","","","","Ligand-Receptor","SLC18A2+TPH2-HTR2B",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"SLC18A2+TPH2-HTR2C","Serotonin","5-HT_byTPH2_and_SLC18A2","HTR2C","","","","","Ligand-Receptor","SLC18A2+TPH2-HTR2C",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"SLC18A2+TPH2-HTR3A+HTR3B+HTR3C+HTR3D+HTR3E","Serotonin","5-HT_byTPH2_and_SLC18A2","5HTR3_complex","","","","","Ligand-Receptor","SLC18A2+TPH2-HTR3A+HTR3B+HTR3C+HTR3D+HTR3E",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"SLC18A2+TPH2-HTR4","Serotonin","5-HT_byTPH2_and_SLC18A2","HTR4","","","","","Ligand-Receptor","SLC18A2+TPH2-HTR4",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"SLC18A2+TPH2-HTR5A","Serotonin","5-HT_byTPH2_and_SLC18A2","HTR5A","","","","","Ligand-Receptor","SLC18A2+TPH2-HTR5A",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"SLC18A2+TPH2-HTR6","Serotonin","5-HT_byTPH2_and_SLC18A2","HTR6","","","","","Ligand-Receptor","SLC18A2+TPH2-HTR6",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"SLC18A2+TPH2-HTR7","Serotonin","5-HT_byTPH2_and_SLC18A2","HTR7","","","","","Ligand-Receptor","SLC18A2+TPH2-HTR7",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"SLC6A4+TPH1-HTR1A","Serotonin","5-HT_byTPH1_and_SLC6A4","HTR1A","","","","","Ligand-Receptor","SLC6A4+TPH1-HTR1A",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"SLC6A4+TPH1-HTR1B","Serotonin","5-HT_byTPH1_and_SLC6A4","HTR1B","","","","","Ligand-Receptor","SLC6A4+TPH1-HTR1B",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"SLC6A4+TPH1-HTR1D","Serotonin","5-HT_byTPH1_and_SLC6A4","HTR1D","","","","","Ligand-Receptor","SLC6A4+TPH1-HTR1D",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"SLC6A4+TPH1-HTR1E","Serotonin","5-HT_byTPH1_and_SLC6A4","HTR1E","","","","","Ligand-Receptor","SLC6A4+TPH1-HTR1E",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"SLC6A4+TPH1-HTR1F","Serotonin","5-HT_byTPH1_and_SLC6A4","HTR1F","","","","","Ligand-Receptor","SLC6A4+TPH1-HTR1F",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"SLC6A4+TPH1-HTR2A","Serotonin","5-HT_byTPH1_and_SLC6A4","HTR2A","","","","","Ligand-Receptor","SLC6A4+TPH1-HTR2A",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
"SLC6A4+TPH1-HTR2B","Serotonin","5-HT_byTPH1_and_SLC6A4","HTR2B","","","","","Ligand-Receptor","SLC6A4+TPH1-HTR2B",NA,"curated","uniprot;reactome;IUPHAR","False","JCranley","","","",NA,"","CellPhoneDBcore4.1",""
