id_complex_composition,complex_multidata_id,protein_multidata_id,total_protein
541,1639,1195,2
542,1640,1296,2
543,1640,1195,2
544,1641,1303,2
545,1641,1195,2
546,1642,1304,2
547,1642,1195,2
548,1643,1329,2
549,1643,1196,2
550,1644,1298,2
551,1644,1196,2
552,1645,1294,2
553,1645,1196,2
554,1646,1295,2
555,1646,1196,2
556,1647,1296,2
557,1647,1196,2
558,1648,1303,2
559,1648,1196,2
560,1649,1304,2
561,1649,1196,2
562,1650,1210,2
563,1650,1216,2
564,1651,1210,3
565,1651,1216,3
566,1651,1220,3
567,1652,1210,3
568,1652,1216,3
569,1652,1218,3
570,1653,1210,2
571,1653,1217,2
572,1654,1210,3
573,1654,1217,3
574,1654,1220,3
575,1655,1211,3
576,1655,1217,3
577,1655,1220,3
578,1656,1212,3
579,1656,1217,3
580,1656,1220,3
581,1657,1212,3
582,1657,1217,3
583,1657,1219,3
584,1658,1212,3
585,1658,1217,3
586,1658,1221,3
587,1659,1213,3
588,1659,1216,3
589,1659,1218,3
590,1660,1213,3
591,1660,1217,3
592,1660,1220,3
593,1661,1213,3
594,1661,1217,3
595,1661,1218,3
596,1662,1214,3
597,1662,1217,3
598,1662,1220,3
599,1663,1215,3
600,1663,1217,3
601,1663,1220,3
602,1664,1215,3
603,1664,1217,3
604,1664,1218,3
605,1665,1327,2
606,1665,1224,2
607,1666,1326,2
608,1666,1224,2
609,1667,1328,2
610,1667,1224,2
611,1668,1199,2
612,1668,1224,2
613,1669,1198,2
614,1669,1224,2
615,1670,1197,2
616,1670,1224,2
617,1671,1200,2
618,1671,1224,2
619,1672,1201,2
620,1672,1224,2
621,1673,1327,2
622,1673,1225,2
623,1674,1326,2
624,1674,1225,2
625,1675,1328,2
626,1675,1225,2
627,1676,1199,2
628,1676,1225,2
629,1677,1198,2
630,1677,1225,2
631,1678,1197,2
632,1678,1225,2
633,1679,1200,2
634,1679,1225,2
635,1680,1201,2
636,1680,1225,2
637,1681,1234,2
638,1681,1237,2
639,1682,1234,2
640,1682,1238,2
641,1683,1235,2
642,1683,1237,2
643,1684,1235,2
644,1684,1238,2
645,1685,1236,2
646,1685,1237,2
647,1686,1236,2
648,1686,1238,2
649,1687,1269,2
650,1687,1110,2
651,1688,1269,2
652,1688,1143,2
653,1689,1269,2
654,1689,1132,2
655,1690,1269,2
656,1690,1071,2
657,1691,1302,2
658,1691,1226,2
659,1692,1305,2
660,1692,1226,2
661,1693,1302,2
662,1693,1227,2
663,1694,1305,2
664,1694,1227,2
665,1695,1222,2
666,1695,1223,2
667,1696,1093,1
668,1697,1083,1
669,1698,396,1
670,1699,207,4
671,1699,1159,4
672,1699,1160,4
673,1699,1162,4
674,1700,207,4
675,1700,1159,4
676,1700,1160,4
677,1700,1161,4
678,1701,549,1
679,1702,285,2
680,1702,1299,2
681,1703,285,2
682,1703,1331,2
683,1704,285,2
684,1704,1332,2
685,1705,1275,2
686,1705,1180,2
687,1706,1286,1
688,1707,1317,2
689,1707,1205,2
690,1708,1317,2
691,1708,1207,2
692,1709,1318,2
693,1709,1205,2
694,1710,1318,2
695,1710,1207,2
696,1711,1319,2
697,1711,1205,2
698,1712,1319,2
699,1712,1207,2
700,1713,1184,2
701,1713,1333,2
702,1714,1185,2
703,1714,1333,2
704,1715,1186,2
705,1715,1333,2
706,1716,1187,2
707,1716,1333,2
